title,category,nltk_len,spacy_len,spacy_embed_len
Earth Negotiations Bulletin (ENB),Scope 4/Avoided emissions,627,642,673
Additionality revisited: guarding the integrity of market mechanisms under the Paris Agreement,Scope 4/Avoided emissions,4,4,5
The carbon we’re not counting accounting for Scope 3 carbon emissions,Scope 4/Avoided emissions,1,2,1
Energy Impact Partners Environmental Metrics Report 2018,Scope 4/Avoided emissions,1,4,2
A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies,Low-energy-demand,365,346,337
Demand-side approaches for limiting global warming to 1.5 °C,Low-energy-demand,947,938,785
Low Energy Demand study: LED,Low-energy-demand,23,23,27
We need a new approach to cutting greenhouse gas emissions: and it's all about innovation ,Low-energy-demand,50,51,52
Social tipping dynamics for stabilizing Earth’s climate by 2050,Low-energy-demand,1,1,1
Pathways limiting warming to 1.5°C: a tale of turning around in no time?,Low-energy-demand,274,267,284
Energy efficiency improvement potentials and a low energy demand scenario for the global industrial sector,Low-energy-demand,307,296,302
Societal Transformations in Models for Energy and Climate Policy: The Ambitious Next Step,Low-energy-demand,2,2,2
Seven Challenges for Energy Transformation,Low-energy-demand,1,4,3
"IPCC Special Report on 1.5: Limiting global warming without temperature ""overshoot""",Low-energy-demand,104,103,106
"Makers, fixers and circular economies",Low-energy-demand,57,57,57
After Paris: transitions for sustainable consumption,Low-energy-demand,4,4,5
"A low-carbon society: Global visions, pathways, and challenges",Low-energy-demand,9,9,9
Why do energy efficiency receive less government support than other energy policies?,Low-energy-demand,31,32,32
The Routledge Handbook of Environmental Economics in Asia,Low-energy-demand,1,1,1
"IPCC’S 1.5˚ REPORT TOUGH ON OVERSHOOT, CRITICAL OF GEOENGINEERING",Low-energy-demand,103,102,105
"The Next Energy Transition Transformative Pathways, Choices and Opportunities",Low-energy-demand,4,4,5
ELECTROCHEMICAL SYNTHESIS,Low-energy-demand,29,26,25
Key issues in sustainable digital revolution,Low-energy-demand,45,45,49
"The 1.5°C Target, Political Implications, and the Role of BECCS",Low-energy-demand,651,682,590
Beyond “Net-Zero”: A Case for Separate Targets for Emissions Reduction and Negative Emissions,Low-energy-demand,241,252,250
Methods for assessing future scenarios from a sustainability perspective,Low-energy-demand,802,780,880
SUSTAINABLE DEVELOPMENT GOALS:,Low-energy-demand,63,63,67
"Transforming how we move around, heat our homes and use devices could limit warming to 1.5C",Low-energy-demand,20,21,25
"Energy system changes in 1.5 °C, well below 2 °C and 2 °C scenarios",Low-energy-demand,2,2,3
World can limit global warming to 1.5C by ‘improving energy efficiency’,Low-energy-demand,61,68,74
What Will it Take to Avert Collapse?,Low-energy-demand,57,58,60
Biotech Start-Up Claims Rapeseed is the Next Best Plant-Based Protein,Meatfree/plant based (biotech),19,19,21
"Biotech + ""plant based protein""",Meatfree/plant based (biotech),42,47,47
Morning News Roundup: Singapore's Life3 Biotech to have its first plant-based alternative protein production facility,Meatfree/plant based (biotech),1,1,3
THE FUTURE OF FOOD IS NOW,Meatfree/plant based (biotech),14,14,14
Investors Show Strong Interest in Plant-Based Protein,Meatfree/plant based (biotech),22,21,22
Our Meatless Future: How The $1.8T Global Meat Market Gets Disrupted,Meatfree/plant based (biotech),259,249,271
Kerry Acquires Plant Protein Biotechnology Company Pevesa,Meatfree/plant based (biotech),22,23,23
Kerry acquires Spanish plant protein ingredients company,Meatfree/plant based (biotech),25,25,27
GIANT EUROPEAN PROTEIN FACTORY OPENING TO MAKE VEGAN MEAT MORE AFFORDABLE,Meatfree/plant based (biotech),15,16,16
About LIFE3 Biotech,Meatfree/plant based (biotech),28,28,28
CONTRIBUTED CONTENT: PART II – PLANT-BASED PROTEIN IS HERE TO STAY,Meatfree/plant based (biotech),48,48,50
Naturally Splendid Announces Contract Manufacturing Client to Launch Nationally in Major Convenience Store Chain,Meatfree/plant based (biotech),36,36,41
"Ginkgo Bioworks joins hunt for next Impossible Burger with billionaire investors, including Gates, Bezos and Bloomberg",Meatfree/plant based (biotech),32,32,33
Singaporean Startup Develops Vegan Alternative To Lab Meat,Meatfree/plant based (biotech),10,10,12
Industrial-scale plant-based protein production in a cell-free platform,Meatfree/plant based (biotech),12,12,12
"Motif Ingredients Launches, Raises $90M to Democratize Plant-Based Ingredients",Meatfree/plant based (biotech),14,14,15
"Plant-based pork? Yes, says Impossible Foods",Meatfree/plant based (biotech),40,43,45
Big Food and Plant-Based Protein: Potential MEATing of the Minds?,Meatfree/plant based (biotech),26,28,29
Reifon Biotech Co. Ltd. - Company description,Meatfree/plant based (biotech),17,16,19
"Plant-based Beyond Meat Offers a Healthier Option, Nutrition Experts Weigh In on the Hype",Meatfree/plant based (biotech),21,20,20
Spira creates ingredients from Spirulina for the food industry,Meatfree/plant based (biotech),14,14,14
AgBio+AgTech—Plant Based and Clean Meat with Good Food Institute,Meatfree/plant based (biotech),6,6,7
"‘Big meat’ vs. scrappy startups: Nestlé, Tyson, Hormel roll out plant-based products to compete with Impossible, Beyond",Meatfree/plant based (biotech),8,8,10
"Plant-Based Protein Expression for Rapid, Green Bioprocessing",Meatfree/plant based (biotech),2,2,2
"Giordano's, Protein Bar introduce fake meat",Meatfree/plant based (biotech),8,8,8
OUR PRODUCTS,Meatfree/plant based (biotech),23,23,23
"iBio Taps Pharmaceutical and Biotech Research Leader Terence E. Ryan, PhD To Drive New Business Development",Meatfree/plant based (biotech),16,16,17
Interest growing in cultivation of plant-based protein alternatives,Meatfree/plant based (biotech),6,6,6
Biochemistry of a burger,Meatfree/plant based (biotech),190,222,229
"Fake meat, served six ways",Meatfree/plant based (biotech),74,78,81
A Fresh Take on Fake Meat,Meatfree/plant based (biotech),10,10,11
Alternative Protein Market is Expected to Grow at a CAGR of 9.5% to Reach $17.9 Billion by 2025- Meticulous Research,Meatfree/plant based (biotech),30,28,32
The Advantage of Plant-Based Expression Solutions Around the Globe,Meatfree/plant based (biotech),69,71,71
Surge in Alternative and Plant-based Proteins - Top focus at 2nd Food Proteins Asia 2019,Meatfree/plant based (biotech),7,7,9
Investors Push Companies on Plant-Based Protein,Meatfree/plant based (biotech),5,5,5
Why your next big bet should be in food innovation,Meatfree/plant based (biotech),5,5,6
"High Performance Nutrition, Inc. has announced an exclusive collaboration with Ambrosia Nutraceuticals, LLC. to bring the next evolution in plant-based protein",Meatfree/plant based (biotech),35,39,36
Chapter 14 - Plant Tissue Culture-Based Industries,Meatfree/plant based (biotech),1,1,2
"Chapter 1 - Unleashing the Promise of Biotechnology to Help Heal, Fuel, and Feed the World",Meatfree/plant based (biotech),1,1,2
The State of the Global Plant-based Protein Market,Meatfree/plant based (biotech),4,4,4
MEMBERS,Meatfree/plant based (biotech),135,136,138
Harvesting The Long-Term Power Of The Plant-Based Movement,Meatfree/plant based (biotech),36,36,39
"The Future of Meat | Impossible Burgers, Bioreactors and the Real Cost of Cheap Protein",Meatfree/plant based (biotech),1,1,2
Food firms globally whip up wacky ways to battle bad diets,Meatfree/plant based (biotech),43,43,47
Plant glyco-biotechnology on the way to synthetic biology,Meatfree/plant based (biotech),694,772,860
"Ahead of Thanksgiving, Tofurky founder gets welcome from Sioux Falls entrepreneurs",Meatfree/plant based (biotech),40,45,50
The food revolution,Meatfree/plant based (biotech),48,46,48
Fonterra dips hoof in alternative animal products,Meatfree/plant based (biotech),54,54,58
"Beyond Meat goes ‘on the offensive,’ blasting critics who claim plant-based burgers are ultra-processed",Meatfree/plant based (biotech),3,3,4
Plant-based meat startup Daring Foods wants to make chicken-free ‘chicken’ the world’s favorite protein,Meatfree/plant based (biotech),4,4,4
Impossible Foods cuts prices 15% as new competitors enter plant-based meat market,Meatfree/plant based (biotech),3,3,3
"Making Protein From Thin Air? Yes, Startups Are Doing It.",Meatfree/plant based (biotech),29,29,33
#myclimateresolution,Local vacations,82,83,86
It is summer time and local vacations or trips to nearby states can be the best,Local vacations,34,33,34
"Peak Oil Doomsters debunked, end of civilization called off",Local vacations,152,156,164
A Simple Solution for Climate Change that You Can Start in 5 Minutes,Local vacations,4,4,4
"When Green Growth Is Not Enough: Climate Change, Ecological Modernization, and Sufficiency",Local vacations,1,1,1
Sovereign Debt at the Crossroads: Challenges and Proposals for Resolving the Third World Debt Crisis,Local vacations,1,1,1
"Airplanes, the Environment, and the Human Condition",Local vacations,1,1,1
Acting locally can help fight climate change – here’s how,Local vacations,46,45,47
Vacation Local (Loco!),Local vacations,99,99,102
Climate Change,Local vacations,121,118,117
A Scientist Breaks Down Cap and Trade and the IPCC Climate Report,Local vacations,45,44,47
Existential Climate-Related Security Risk,Local vacations,1099,1095,1185
SUSTAINABLE WATER MANAGEMENT IN AN UNSUSTAINABLE WORLD,Local vacations,44,44,46
"A rapid method for evaluating the variables affecting traffic flow in a touristic road, Iran",Local vacations,233,231,225
"Measuring what works: quantifying greenhouse gas emission reductions of behavioural interventions to reduce driving, meat consumption, and household energy use",Local vacations,3,3,3
Save the Vacation,Local vacations,11,11,11
Water: What motivates us to care?,Local vacations,52,54,58
Let’s Change Everything,Local vacations,21,22,22
Student Post – Measuring your Ecological Footprint,Local vacations,6,6,6
Why is it so hot right now?,Local vacations,29,31,32
How to Live Zero-Waste on a Budget,Local vacations,97,100,101
Resilience in times of Crisis,Local vacations,128,130,134
//alternatives to aviation,Local vacations,10,9,9
QUIZ: Can you stop #climate change with small lifestyle changes or should you fill your pockets with stones and walk into the river?,Local vacations,58,58,57
How To Go Zero-Waste,Local vacations,11,11,11
DON’T FLY,Local vacations,29,30,32
"Laudato Si: Sunday Reflection #36... ""Truly, much can be done!""",Local vacations,32,32,33
Spring In Ferndale,Local vacations,59,60,60
vacation Local (Loco!),Local vacations,29,29,28
EDP279,Local vacations,9,9,9
Are Polite People More Violent and Destructive?,Local vacations,32,33,37
OMG! Global Warming Will Sink Venice by 2100,Local vacations,52,52,53
Tips for Friends Planning to Visit Costa Rica,Local vacations,209,219,230
OVERBOOKED and thoughts on tourism,Local vacations,57,57,57
The Guide to Living and Working Green at Tufts,Local vacations,4,5,3
Local Vacations Save Money and the Planet,Local vacations,21,21,22
What Are Your Energy Policy Recommendations?,Local vacations,2496,2482,2625
GETTING HIGH ON YOUR OWN SUPPLY,Local vacations,63,65,71
,Local vacations,3,14,6
"Resort to offer maiden VR experience, investment opportunities for Kenyans : The Standard",Local vacations,25,26,29
"Weekly roundup of news from Eastern Africa and the Indian Ocean islands, Third edition September 2013",Local vacations,317,319,354
In pursuit of CO2 emissions climate villains,Meat shame,98,103,108
GENERATION MEAT SHAME AND CLIMATE STRIKES,Meat shame,11,13,13
Fly Shame,Meat shame,22,24,25
,Meat shame,106,105,111
PETA Wants To Ruin Something Else By Having Golfer Andrew ‘Beef’ Johnston Change His Nickname To ‘Tofu’,Meat shame,16,20,21
If you are ashamed of eating meat,Meat shame,47,47,48
Stop shoving veganism down our throats,Meat shame,53,53,55
“Great meat - shame about the restaurant.”,Meat shame,7,7,8
,Meat shame,26,28,28
We knew beef for kids had horse in it: Schools firm’s meat shame,Meat shame,14,15,20
Dirt Candy,Meat shame,11,11,11
MEAT PRIDE,Meat shame,40,42,41
Beginner's Guide For the Plant-Based Party Guest (or Host),Meat shame,94,94,98
This Is Why I Will Never Eat Meat Again,Meat shame,37,38,40
COOL BEANS,Meat shame,90,96,98
Climate coverage reached a turning point in 2019,Meat shame,25,26,30
Leaving the Meatrix? Transformative learning and denialism in the case of meat consumption,Animal rights,4,4,5
Why Animals Matter for Climate Change,Animal rights,223,225,237
ANIMAL RIGHTS: MORAL CRUSADE OR SOCIAL MOVEMENT?,Animal rights,254,260,277
5 Transformative Environmental Documentaries,Animal rights,28,31,31
THE “ANIMAL TURN” IN HISTORY,Animal rights,35,43,42
Animal liberation from below: toward a radical interspecies municipalism,Animal rights,108,121,129
Reimagining Climate Change,Animal rights,1,1,1
The Tour to Save the World: Colombia wins the Yellow Jersey for the Rights of Nature,Animal rights,43,43,44
"11,000 Scientists Warn Climate Crisis Will Cause 'Untold Suffering'",Animal rights,8,9,10
A framework for analyzing and practicing Integrative Governance: The case of global animal and conservation governance,Animal rights,5,5,6
The Political Animal: The Animal Rights Movement and Public Policy,Animal rights,1,9,43
Transformative Environmental Constitutionalism’s Response to the Setting Aside of South Africa’s Moratorium on Rhino Horn Trade,Animal rights,195,191,161
"Framing Animal Rights in the ""Go Veg"" Campaigns of U.S. Animal Rights Organizations",Animal rights,3,1,7
Sustainability Sutra: An Ecological Investigation,Animal rights,2,2,2
SHOULD WE BLAME LIVESTOCK FOR CLIMATE CHANGE?,Animal rights,65,66,67
Environmental Ethics,Animal rights,1085,1084,986
Tipping Points and the Human World: Living with Change and Thinking about the Future,Animal rights,269,266,265
(NON) HUMAN(IMAL) RIGHTS: DISMANTLING THE SEPARATENESS IN LAW AND POLICY,Animal rights,189,226,202
Global Campaign Offers $1 Million to Charity If Pope Francis Tries Vegan for Lent to Save the Planet,Animal rights,48,46,49
GLOBAL JUSTICE IN THE 21ST CENTURY,Animal rights,69,75,82
If Animals Could Speak (Book Launch),Animal rights,14,14,16
I Want to Be a Non-Combatant in the Coming Burger Wars,Animal rights,64,66,66
Revolution at 100: Alyssa Battistoni,Animal rights,77,79,78
"Prof Cass Sunstein on how social change happens, and why it’s so often abrupt & unpredictable",Animal rights,870,917,1011
‘Ahuman Manifesto’: The Final Solution to Climate Change,Animal rights,39,46,49
We are about to wipe out 1 million species off Earth,Animal rights,10,10,11
Action on Global Warming: NYC's Green New Deal,Animal rights,249,247,246
The Ahuman Manifesto: The Final Solution To Climate Change,Animal rights,47,53,55
Jewish Women in Environmental Activism,Animal rights,125,126,135
Sustainability is a harder notion to act on than ‘child-friendly’,Animal rights,70,68,71
AI For Good Starts With Collaboration,Animal rights,72,78,84
Theme and Mission,Animal rights,38,38,37
Going green is about getting green,Animal rights,21,26,28
THESE 13 POLITICIANS REFUSE TO EAT MEAT,Animal rights,100,107,111
‘Low-impact communities’ and their value to experiential Education for Sustainability in higher education,Low impact living,4,4,5
Transformative social innovations: A sustainability transition perspective on social innovation,Low impact living,7,8,10
Professor Paul Chatterton,Low impact living,115,115,127
Geographies of Sustainability: Low Impact Developments and Radical Spaces of Innovation,Low impact living,8,8,8
Disaster Localization: A Constructive Response to Climate Chaos,Low impact living,38,45,46
Unlocking Sustainable Cities: A Manifesto for Real Change,Low impact living,48,48,48
CAN HOUSING STRUGGLES —> ECOSOCIALISM?,Low impact living,46,46,47
Transitions on the home front: A story of sustainable living beyond eco-efficiency,Low impact living,508,500,492
Low Impact and Environment: Shaping A Planet For Future Generations,Low impact living,13,13,16
Second Intentional Communities Symposium,Low impact living,3,3,4
Social innovation as an emerging phenomenon of great societal importance,Low impact living,122,117,126
Low Impact and Environment: Shaping A Planet For Future Generations,Low impact living,150,150,183
"Low Impact Living Communities, in Britain",Low impact living,159,186,202
Low Impact Living Initiative,Low impact living,6,6,7
Characterisation and comparison of case study findings – Batch 1 cases,Low impact living,1,1,10
"I’m not a tree hugger, I’m just like you’: changing perceptions of sustainable lifestyles",Low impact living,2,5,3
GLOBAL GREEN USA ANNOUNCES COMMITMENT TO THE WHITE HOUSE FOR 1MW IN SOLAR INSTALLS BY 2017,Low impact living,17,18,18
Low Impact Living (Earthscan Tools for Community Planning),Low impact living,22,22,19
SCOTLAND’S HOUSING: MORE THAN JUST NUMBERS,Low impact living,6,6,7
Interview with Hitesh Mehta: The Spiritual Side of Sustainability,Low impact living,26,33,36
Shareable’s Top 22 New Books for Winter,Low impact living,75,91,99
Building A Resilient Community,Low impact living,418,427,432
About,Low impact living,3595,3975,4120
etrofitting the City: Interweaving Urban Nature for Transformative Adaptation,City planning,90,91,95
Our cities can thrive in the age of climate change - if we help them adapt,City planning,30,59,59
Transformative climate action in cities,City planning,5,5,5
Empowering Bangladeshi slum dwellers through transformative city wide resilience planning - Post expert feedback - updated Dec 18,City planning,1,1,1
"Urban Expansion, Urban Land Use Classification and Machine Learning: Emerging Opportunities for Research and City Planning",City planning,24,24,33
The Critical Role for Young People and Schools in Resiliency Planning,City planning,145,148,153
TRANSFORMATIVE PLANNING PANEL,City planning,124,124,129
Urban Centers and Climate Change: Implications from the IPCC’s New Report,City planning,64,66,66
Transformative Climate Communities Grants Announced,City planning,17,17,18
Fighting Climate Change the Urban Way,City planning,100,102,106
CitiesIPCC Bulletin,City planning,354,362,389
Too big : Rebuild by Design : a transformative approach to climate change,City planning,24,23,23
Smart grids innovation challenge,Smart energy grids,1,1,9
Smart grids or smart users? Involving users in developing a low carbon electricity economy,Smart energy grids,11,11,12
"Smart grids in the European Union: Assessing energy security, regulation & social and ethical considerations",Smart energy grids,2671,2577,2556
Greed to Green: Solving Climate Change and Remaking the Economy,Smart energy grids,1,1,1
Retrofitting the City: Interweaving Urban Nature for Transformative Adaptation,Smart energy grids,90,91,95
Smart City – Driving Through a Fairytale,Smart energy grids,73,74,79
"Goal 9. Build resilient infrastructure, promote inclusive and sustainable industrialization and foster innovation",Smart energy grids,14,14,16
Chapter 15 - Risk-based lifecycle assessment of hybrid transportation infrastructures as integrated with smart energy grids,Smart energy grids,1,1,3
Data From Smart Energy Grids Can Provide Great Insights - Video,Smart energy grids,2,2,3
Poor cybersecurity could destabilise increasingly complex energy grids,Smart energy grids,77,75,82
DISRUPTION AT THE EDGE: IOT TRANSFORMING ENERGY GRIDS,Smart energy grids,33,33,34
Highview Power’s Liquid Air Energy Storage Named Technology of the Year by BusinessGreen Magazine,Smart energy grids,15,17,19
"Normative Alignment, Institutional Resilience and Shifts in Legal Governance of the Energy Transition",Smart energy grids,336,282,289
IEEE VISION FOR SMART GRID CONTROLS: 2030 AND BEYOND,Smart energy grids,4,9,4
German-listed companies invested 11 times more in low-carbon investments than British companies,Smart energy grids,19,20,22
HOW 5G COULD EXPAND BIG DATA APPLICATIONS,Smart energy grids,57,56,57
Platinum Intel Partner and Cloud Service Provider,Smart energy grids,11,11,11
A perfect match -- new UK-India research partnerships unveiled,Smart energy grids,58,57,61
Four new 'superpowers' you should know about,Smart energy grids,50,50,50
ENTRYPOINT SOLUTIONS,Smart energy grids,43,43,44
3D-Printed Food,3D printed food,14,13,15
Transformation,3D printed food,119,123,130
Food System Vision Prize,3D printed food,1,1,1
Making Innovation Work – for the Earth,3D printed food,62,61,68
Making Innovation Work  -  for the Earth,3D printed food,20,21,22
eating against climate change,3D printed food,1,1,1
How will 3D food printing shape our attitudes to food?,3D printed food,2,2,2
Disrupting Food,3D printed food,62,60,65
"‘Building smart cities starts with people, not technology’",3D printed food,44,44,46
3D SYSTEMS PARTNERS WITH THE CULINARY INSTITUTE OF AMERICA TO ADVANCE FOOD 3D PRINTING,3D printed food,35,36,40
336 Fundamentals of 3D Food Printing and Applications,3D printed food,2,2,2
6 Companies Serving Up Delicious 3D Printed Food Innovations,3D printed food,53,53,58
100 Radical InnovationBreakthroughs for the future,3D printed food,7,7,7
5 FACTS ABOUT HEALTH IN NORTH KOREA,3D printed food,42,42,45
Musicians to tackle US red tape,bbc_entertainment,14,17,19
U2's desire to be number one,bbc_entertainment,34,40,40
Rocker Doherty in on-stage fight,bbc_entertainment,16,18,18
Snicket tops US box office chart,bbc_entertainment,8,8,8
Ocean's Twelve raids box office,bbc_entertainment,12,13,16
'Landmark movies' of 2004 hailed,bbc_entertainment,10,12,12
Pete Doherty misses bail deadline,bbc_entertainment,11,13,13
Fockers retain film chart crown,bbc_entertainment,12,14,15
Top gig award for Scissor Sisters,bbc_entertainment,8,10,11
Johnny Depp: The acting outlaw,bbc_entertainment,19,22,23
Actress Roberts takes spider role,bbc_entertainment,7,9,9
Film production 'falls' 40% in UK,bbc_entertainment,16,17,17
Patti Smith to host arts festival,bbc_entertainment,6,8,9
Brits return Keane to number one,bbc_entertainment,9,11,11
Sundance to honour foreign films,bbc_entertainment,11,13,13
Rapper Snoop Dogg sued for 'rape',bbc_entertainment,11,13,14
De Niro film leads US box office,bbc_entertainment,11,14,14
Indie film nominations announced,bbc_entertainment,13,17,17
Director Nair's Vanity project,bbc_entertainment,31,33,34
The Sound of Music is coming home,bbc_entertainment,9,11,11
Lasting influence of legend Charles,bbc_entertainment,17,22,24
Rapper 50 Cent ends protege feud,bbc_entertainment,15,17,17
The Producers scoops stage awards,bbc_entertainment,13,16,21
Brits return Keane to number one,bbc_entertainment,9,11,11
Soul sensation ready for awards,bbc_entertainment,6,7,7
Ocean's Twelve raids box office,bbc_entertainment,12,13,16
DVD review: Spider-Man 2,bbc_entertainment,15,19,21
Tautou film tops Cesar prize nods,bbc_entertainment,11,13,15
Downloads enter US singles chart,bbc_entertainment,13,17,17
Rapper Jay-Z becomes label boss,bbc_entertainment,11,13,12
Hollywood hunts hits at Sundance,bbc_entertainment,12,14,14
Hoffman hits out over modern film,bbc_entertainment,18,20,20
Van Gogh festival film withdrawn,bbc_entertainment,11,12,12
Bookmakers back Aviator for Oscar,bbc_entertainment,12,14,14
How the Academy Awards flourished,bbc_entertainment,42,50,52
Bollywood draws global stars,bbc_entertainment,23,28,28
Legendary music studio to close,bbc_entertainment,8,9,9
Day-Lewis set for Berlin honour,bbc_entertainment,9,10,11
Spirit awards hail Sideways,bbc_entertainment,11,13,13
Fockers fuel festive film chart,bbc_entertainment,9,10,11
Oscar nominee Dan O'Herlihy dies,bbc_entertainment,6,6,6
Deal to ban 'homophobic' reggae,bbc_entertainment,19,24,21
Singer Christina Aguilera to wed,bbc_entertainment,10,11,11
TV presenter Deeley drops CD:UK,bbc_entertainment,5,7,8
No jail for singer Courtney Love,bbc_entertainment,13,15,16
"Hendrix guitar fetches Â£100,000",bbc_entertainment,9,11,11
Grammys honour soul star Charles,bbc_entertainment,23,28,28
Controversial film tops festival,bbc_entertainment,8,10,11
Box office blow for Alexander,bbc_entertainment,11,13,13
US box office set for record high,bbc_entertainment,13,14,14
Streets have 'album of the year',bbc_entertainment,11,12,12
Elvis set to top UK singles chart,bbc_entertainment,8,9,9
Howl helps boost Japan's cinemas,bbc_entertainment,9,9,10
Fantasy book wins Hollywood deal,bbc_entertainment,11,13,13
BBC denies Blackadder TV comeback,bbc_entertainment,7,7,8
Corbett attacks 'dumbed-down TV',bbc_entertainment,23,24,25
The comic book genius of Stan Lee,bbc_entertainment,39,43,43
Keanu Reeves given Hollywood star,bbc_entertainment,9,11,11
Wal-Mart is sued over rude lyrics,bbc_entertainment,10,11,12
Manics in charge of BBC 6 Music,bbc_entertainment,7,9,10
Low-budget film wins Cesar,bbc_entertainment,10,12,12
Ray DVD beats box office takings,bbc_entertainment,9,10,11
Da Vinci film to star Tom Hanks,bbc_entertainment,9,10,10
Abba reunite for musical premiere,bbc_entertainment,12,14,14
German music in a 'zombie' state,bbc_entertainment,23,25,25
Rapper Kanye West's shrewd soul,bbc_entertainment,20,23,25
Spider-Man creator wins profits,bbc_entertainment,10,12,12
T in the Park sells out in days,bbc_entertainment,9,11,11
Famed music director Viotti dies,bbc_entertainment,10,12,12
Sky takes over Oscar night mantle,bbc_entertainment,9,9,10
Animation charms Japan box office,bbc_entertainment,6,8,8
UK debut for Kevin Spacey movie,bbc_entertainment,12,13,13
U2 to play at Grammy awards show,bbc_entertainment,8,9,9
Elton plays Paris charity concert,bbc_entertainment,11,13,13
Pop band Busted to 'take a break',bbc_entertainment,10,11,11
BBC to pour Â£9m into new comedy,bbc_entertainment,9,11,11
Carry On star Patsy Rowlands dies,bbc_entertainment,13,15,15
Bangkok film festival battles on,bbc_entertainment,30,34,35
Smith loses US box office crown,bbc_entertainment,11,12,12
Glasgow hosts tsunami benefit gig,bbc_entertainment,8,9,10
Rap boss arrested over drug find,bbc_entertainment,12,14,14
Queen recruit singer for new tour,bbc_entertainment,10,12,15
Children vote Shrek 2 best film,bbc_entertainment,9,12,13
Hollywood ready for Oscars night,bbc_entertainment,22,25,25
Berlin hails European cinema,bbc_entertainment,12,13,13
Musical treatment for Capra film,bbc_entertainment,7,9,9
Help for indies in download sales,bbc_entertainment,8,9,9
Fry set for role in Hitchhiker's,bbc_entertainment,9,9,10
Triple triumph for Little Britain,bbc_entertainment,19,24,25
South Bank Awards honour hit soap,bbc_entertainment,8,10,10
New York rockers top talent poll,bbc_entertainment,20,23,25
Musical treatment for Capra film,bbc_entertainment,7,9,9
Spark heads world Booker list,bbc_entertainment,8,12,16
Celebrities get their skates on,bbc_entertainment,9,10,10
Hillbillies singer Scoggins dies,bbc_entertainment,7,8,8
Early Elvis recordings go on sale,bbc_entertainment,10,11,11
Jackson film 'absolute disaster',bbc_entertainment,16,22,22
Super Size Me wins writers' award,bbc_entertainment,9,11,11
India to deport Bollywood actress,bbc_entertainment,14,15,16
Berlin celebrates European cinema,bbc_entertainment,12,13,13
Lopez misses UK charity premiere,bbc_entertainment,17,18,19
Lee to create new film superhero,bbc_entertainment,10,12,12
Prince crowned 'top music earner',bbc_entertainment,9,11,11
'Comeback' show for Friends star,bbc_entertainment,9,11,11
Holmes wins '2004 top TV moment',bbc_entertainment,7,9,9
Arthur Hailey: King of the bestsellers,bbc_entertainment,35,38,38
Jarre joins fairytale celebration,bbc_entertainment,12,13,13
Joy Division story to become film,bbc_entertainment,12,14,14
Volcano drama erupts on BBC One,bbc_entertainment,14,18,18
Celebrities get to stay in jungle,bbc_entertainment,6,8,8
Housewives lift Channel 4 ratings,bbc_entertainment,6,8,8
BBC 'should allow more scrutiny',bbc_entertainment,15,17,18
Adventure tale tops awards,bbc_entertainment,10,12,12
Potter director signs Warner deal,bbc_entertainment,7,11,11
iTunes now selling Band Aid song,bbc_entertainment,7,10,10
X Factor show gets second series,bbc_entertainment,9,9,10
Pupils to get anti-piracy lessons,bbc_entertainment,14,17,17
Original Exorcist to be screened,bbc_entertainment,12,13,13
France set for new Da Vinci novel,bbc_entertainment,11,13,13
UK Directors Guild nominees named,bbc_entertainment,9,11,11
Oscar nominees lack pulling power,bbc_entertainment,19,24,24
Spector facing more legal action,bbc_entertainment,11,14,14
Alicia Keys to open US Super Bowl,bbc_entertainment,10,12,12
Court halts Mark Morrison album,bbc_entertainment,19,22,24
Baghdad Blogger on big screen,bbc_entertainment,11,13,13
Gallery unveils interactive tree,bbc_entertainment,9,10,10
Mutant book wins Guardian prize,bbc_entertainment,9,10,10
Greer attacks 'bully' Big Brother,bbc_entertainment,18,21,23
Baywatch dubbed 'worst TV import',bbc_entertainment,8,10,10
TV show unites Angolan families,bbc_entertainment,27,30,30
Jungle TV show ratings drop by 4m,bbc_entertainment,13,17,18
Aviator 'creator' in Oscars snub,bbc_entertainment,12,15,15
Artists' secret postcards on sale,bbc_entertainment,11,13,13
Poppins musical gets flying start,bbc_entertainment,7,9,9
Band Aid 20 single storms to No 1,bbc_entertainment,15,18,18
Comic Morris returns with sitcom,bbc_entertainment,7,8,8
US 'to raise TV indecency fines',bbc_entertainment,9,10,10
US 'afflicted' with awards fatigue,bbc_entertainment,23,28,28
British stars denied major Oscars,bbc_entertainment,21,24,24
Eastwood's Baby scoops top Oscars,bbc_entertainment,33,36,36
Bollywood DVD fraudster is jailed,bbc_entertainment,13,15,15
EastEnders 'is set for US remake',bbc_entertainment,7,9,9
Parker's saxophone heads auction,bbc_entertainment,6,8,8
Queen recruit singer for new tour,bbc_entertainment,10,12,15
Richard and Judy choose top books,bbc_entertainment,10,11,11
Uganda bans Vagina Monologues,bbc_entertainment,12,15,15
Stars gear up for Bafta ceremony,bbc_entertainment,9,12,12
Show over for MTV's The Osbournes,bbc_entertainment,12,14,15
Little Britain two top comic list,bbc_entertainment,7,9,9
Portishead back after eight years,bbc_entertainment,13,14,16
No charges against TV's Cosby,bbc_entertainment,11,13,13
Muslim group attacks TV drama 24,bbc_entertainment,12,13,13
Bennett play takes theatre prizes,bbc_entertainment,7,8,12
Neeson in bid to revive theatre,bbc_entertainment,18,20,20
&#163;1.8m indecency fine for Viacom,bbc_entertainment,11,13,13
